id,vertex,lat,lon,name,localityName,code,direction,description,locationType,locationSubType,wheelchairBoarding,routeIds,stopColorType,style,parentStationId,type
BKK_F01163,BKK:BKK_F01163,47.497491,19.074043,Kiss József utca,1081,F01163,159,3617,0,,True,['BKK_0990'],BUS,{'colors': ['009EE3']},BKK_CSF01163,BUS
BKK_F01162,BKK:BKK_F01162,47.499136,19.078384,Huszár utca,1081,F01162,69,3615,0,,True,"['BKK_0050', 'BKK_0070', 'BKK_1070', 'BKK_1100', 'BKK_1120', 'BKK_9070', 'BKK_9071', 'BKK_9080', 'BKK_9081', 'BKK_9310', 'BKK_9311', 'BKK_9560', 'BKK_9730', 'BKK_9731', 'BKK_9900']",BUS,"{'colors': ['000000', '009EE3']}",BKK_CSF01161,BUS
BKK_F01161,BKK:BKK_F01161,47.499199,19.07772,Huszár utca,1074,F01161,-116,3613,0,,True,"['BKK_0050', 'BKK_0070', 'BKK_1070', 'BKK_1100', 'BKK_1120', 'BKK_9070', 'BKK_9080', 'BKK_9310', 'BKK_9560', 'BKK_9730', 'BKK_9731', 'BKK_9900']",BUS,"{'colors': ['000000', '009EE3']}",BKK_CSF01161,BUS
BKK_F01199,BKK:BKK_F01199,47.490332,19.070815,Harminckettesek tere,1085,F01199,4,3689,0,,True,"['BKK_3040', 'BKK_3060']",BUS,{'colors': ['FFD800']},BKK_CSF01199,TRAM
BKK_F01198,BKK:BKK_F01198,47.489991,19.070563,Harminckettesek tere,1085,F01198,-174,3687,0,,True,"['BKK_VP06', 'BKK_9230']",BUS,"{'colors': ['000000', '009EE3']}",BKK_CSF01199,BUS
BKK_F01197,BKK:BKK_F01197,47.489559,19.070589,Harminckettesek tere,1085,F01197,-174,3685,0,,True,"['BKK_3040', 'BKK_3060']",BUS,{'colors': ['FFD800']},BKK_CSF01199,TRAM
BKK_F01196,BKK:BKK_F01196,47.489955,19.070881,Harminckettesek tere,1085,F01196,6,3683,0,,True,"['BKK_VP06', 'BKK_9230']",BUS,"{'colors': ['000000', '009EE3']}",BKK_CSF01199,BUS
BKK_F01195,BKK:BKK_F01195,47.485314,19.069579,Corvin-negyed M,1092,F01195,-178,3681,0,,True,"['BKK_VP06', 'BKK_9230', 'BKK_9340', 'BKK_9790', 'BKK_9791']",BUS,"{'colors': ['000000', '009EE3']}",BKK_CSF01190,BUS
BKK_F01194,BKK:BKK_F01194,47.486186,19.070057,Corvin-negyed M,1085,F01194,-165,3679,0,,True,"['BKK_3040', 'BKK_3060']",BUS,{'colors': ['FFD800']},BKK_CSF01190,TRAM
BKK_F01192,BKK:BKK_F01192,47.485368,19.070946,Corvin-negyed M,1094,F01192,121,3675,0,,True,"['BKK_9140', 'BKK_9141', 'BKK_9500', 'BKK_9501']",BUS,{'colors': ['000000']},BKK_CSF01190,BUS
